trip_id,pattern_id
85SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_16
85SFO10,Pittsburg/Bay Point - SFIA/Millbrae_0_8
51DCM20SAT,Dublin/Pleasanton - Daly City_0_3
82SFO10,Pittsburg/Bay Point - SFIA/Millbrae_0_8
82SFO11,Pittsburg/Bay Point - SFIA/Millbrae_1_16
104OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
04DC10SAT,Fremont - Daly City_0_2
48OAK11,Coliseum - Oakland Int'l Airport_1_2
48OAK10,Coliseum - Oakland Int'l Airport_0_1
107OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
73OAK10,Coliseum - Oakland Int'l Airport_0_1
147OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
31OAK11,Coliseum - Oakland Int'l Airport_1_2
72OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
116OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
04R11SAT,Fremont - Richmond_1_2
145OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
62DCM21,Dublin/Pleasanton - Daly City_1_6
54DCM11,Richmond - Daly City/Millbrae_1_4
08SFO11SAT,Pittsburg/Bay Point - SFIA/Millbrae_1_12
54DCM10,Richmond - Daly City/Millbrae_0_2
15DC10,Fremont - Daly City_0_2
34R11SAT,Fremont - Richmond_1_2
83OAK10,Coliseum - Oakland Int'l Airport_0_1
83OAK11,Coliseum - Oakland Int'l Airport_1_2
51SFO11SAT,Pittsburg/Bay Point - SFIA/Millbrae_1_13
178OAK10,Coliseum - Oakland Int'l Airport_0_1
30OAK10,Coliseum - Oakland Int'l Airport_0_1
27R11SAT,Fremont - Richmond_1_2
47R10SAT,Fremont - Richmond_0_3
52OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
08DCM20SUN,Dublin/Pleasanton - Daly City_0_2
48OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
22DCM21,Dublin/Pleasanton - Daly City_1_5
22DCM20,Dublin/Pleasanton - Daly City_0_2
05R11,Fremont - Richmond_1_2
05R10,Fremont - Richmond_0_3
28DC10,Fremont - Daly City_0_2
28DC11,Fremont - Daly City_1_1
21DC11,Fremont - Daly City_1_1
21DC10,Fremont - Daly City_0_2
