,agency_id,dist,heading,length,pattern_id,point_id,route_dir,route_short_name,shape_id,shape_pt_sequence,trip_id
89,8.0,1.48796928572,174.66460793308136,0.00976287608194,Pittsburg/Bay Point - SFIA/Millbrae_0_1,89.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,89.0,01SFO10
90,8.0,1.49402410759,175.13701251114992,0.00605482186697,Pittsburg/Bay Point - SFIA/Millbrae_0_1,90.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,90.0,01SFO10
91,8.0,1.50432689764,175.02951649267834,0.0103027900501,Pittsburg/Bay Point - SFIA/Millbrae_0_1,91.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,91.0,01SFO10
92,8.0,1.51637311136,174.62807281101823,0.0120462137215,Pittsburg/Bay Point - SFIA/Millbrae_0_1,92.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,92.0,01SFO10
93,8.0,1.52473262514,174.54827338630207,0.00835951377708,Pittsburg/Bay Point - SFIA/Millbrae_0_1,93.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,93.0,01SFO10
94,8.0,1.53207633048,174.33164668341283,0.00734370534558,Pittsburg/Bay Point - SFIA/Millbrae_0_1,94.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,94.0,01SFO10
95,8.0,1.5505140479,174.08387275584687,0.0184377174211,Pittsburg/Bay Point - SFIA/Millbrae_0_1,95.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,95.0,01SFO10
96,8.0,1.57128035713,173.04666595591584,0.0207663092269,Pittsburg/Bay Point - SFIA/Millbrae_0_1,96.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,96.0,01SFO10
97,8.0,1.59372340576,171.82832690052135,0.0224430486257,Pittsburg/Bay Point - SFIA/Millbrae_0_1,97.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,97.0,01SFO10
98,8.0,1.61373653461,170.21249462196613,0.0200131288588,Pittsburg/Bay Point - SFIA/Millbrae_0_1,98.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,98.0,01SFO10
99,8.0,1.61728023897,160.28245166827253,0.00354370435288,Pittsburg/Bay Point - SFIA/Millbrae_0_1,99.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,99.0,01SFO10
100,8.0,1.63765544465,166.1365677572901,0.0203752056875,Pittsburg/Bay Point - SFIA/Millbrae_0_1,100.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,100.0,01SFO10
101,8.0,1.66071225727,158.7579083725568,0.0230568126197,Pittsburg/Bay Point - SFIA/Millbrae_0_1,101.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,101.0,01SFO10
102,8.0,1.68129370193,141.9898644037438,0.020581444659,Pittsburg/Bay Point - SFIA/Millbrae_0_1,102.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,102.0,01SFO10
103,8.0,1.70725618604,82.77671842177705,0.0259624841074,Pittsburg/Bay Point - SFIA/Millbrae_0_1,103.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,103.0,01SFO10
104,8.0,1.72300116722,25.54958451119103,0.0157449811778,Pittsburg/Bay Point - SFIA/Millbrae_0_1,104.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,104.0,01SFO10
105,8.0,1.7498313336,18.73148966701217,0.0268301663829,Pittsburg/Bay Point - SFIA/Millbrae_0_1,105.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,105.0,01SFO10
106,8.0,1.76621832827,13.934799094640482,0.0163869946657,Pittsburg/Bay Point - SFIA/Millbrae_0_1,106.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,106.0,01SFO10
107,8.0,1.78891236242,9.959238925769853,0.0226940341513,Pittsburg/Bay Point - SFIA/Millbrae_0_1,107.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,107.0,01SFO10
108,8.0,1.7979068242,9.623085092875556,0.00899446178269,Pittsburg/Bay Point - SFIA/Millbrae_0_1,108.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,108.0,01SFO10
109,8.0,1.81074607661,7.570485760116924,0.0128392524116,Pittsburg/Bay Point - SFIA/Millbrae_0_1,109.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,109.0,01SFO10
110,8.0,1.82356568074,6.8387463292446,0.0128196041237,Pittsburg/Bay Point - SFIA/Millbrae_0_1,110.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,110.0,01SFO10
111,8.0,1.84068184393,6.340668946100834,0.0171161631961,Pittsburg/Bay Point - SFIA/Millbrae_0_1,111.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,111.0,01SFO10
112,8.0,1.85454183293,5.601219779592725,0.0138599889971,Pittsburg/Bay Point - SFIA/Millbrae_0_1,112.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,112.0,01SFO10
113,8.0,1.87311299283,5.062203224175278,0.0185711599041,Pittsburg/Bay Point - SFIA/Millbrae_0_1,113.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,113.0,01SFO10
114,8.0,1.89834726419,4.508032441560317,0.0252342713602,Pittsburg/Bay Point - SFIA/Millbrae_0_1,114.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,114.0,01SFO10
115,8.0,1.90596848836,3.9628681034221245,0.00762122416271,Pittsburg/Bay Point - SFIA/Millbrae_0_1,115.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,115.0,01SFO10
116,8.0,1.92062999882,4.002537088900738,0.014661510464,Pittsburg/Bay Point - SFIA/Millbrae_0_1,116.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,116.0,01SFO10
117,8.0,1.94055789358,3.570594965919497,0.0199278947607,Pittsburg/Bay Point - SFIA/Millbrae_0_1,117.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,117.0,01SFO10
118,8.0,1.96558351844,3.2988069097907555,0.025025624859,Pittsburg/Bay Point - SFIA/Millbrae_0_1,118.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,118.0,01SFO10
119,8.0,1.98599284717,2.9962882300407614,0.0204093287308,Pittsburg/Bay Point - SFIA/Millbrae_0_1,119.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,119.0,01SFO10
120,8.0,2.03057715598,2.6942307558635434,0.0445843088127,Pittsburg/Bay Point - SFIA/Millbrae_0_1,120.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,120.0,01SFO10
121,8.0,2.05637541685,2.352160808081692,0.0257982608656,Pittsburg/Bay Point - SFIA/Millbrae_0_1,121.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,121.0,01SFO10
122,8.0,2.08251064643,2.2394347705231326,0.0261352295793,Pittsburg/Bay Point - SFIA/Millbrae_0_1,122.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,122.0,01SFO10
123,8.0,2.10696192619,2.196508250715624,0.0244512797607,Pittsburg/Bay Point - SFIA/Millbrae_0_1,123.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,123.0,01SFO10
124,8.0,2.13356755469,2.1809419101227263,0.0266056285039,Pittsburg/Bay Point - SFIA/Millbrae_0_1,124.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,124.0,01SFO10
